id;aantalnormteams;adres;binnensport;buitensport;email;ledenaantal;naam;typesport
1;linear;lest;true;true;Lenora.Rohan55@hotmail.com;before as that;towards top-hat bah;noted but sponge
2;though up lest;violently neatly;false;false;Adam.Emard89@yahoo.com;finally mouton boohoo;who;though
3;yippee gah;anxiously;true;true;Erika13@hotmail.com;arithmetic huzzah;dear humiliating;longitude phew when
4;meh dresser;modulo seldom with;false;false;Maida38@yahoo.com;notable;ha hearty till;instead birdhouse
5;parsley an interpenetrate;quirk;true;false;Elian_Armstrong88@hotmail.com;daffodil the unless;animate on;because since regarding
6;unnatural whoever;inside identify quicker;false;false;Elza_Hirthe@hotmail.com;checking short;incidentally that lest;more mmm
7;insistent alphabetise extremely;upbeat carefully;false;true;Taryn_Veum-Adams@gmail.com;yuck candid free;suddenly saddle inside;integral possible bland
8;shallow more;hmph stealthily;true;true;Buford23@gmail.com;since;obedient;bah till huzzah
9;brilliant play apud;versus woot;true;true;Aisha39@gmail.com;failing;uh-huh however;immediately next
10;incidentally;er attempt;true;false;Hiram.Kessler@yahoo.com;caress even sternly;disparity woot;blindly
