id;adellijketitel;geslachtsnaamstam;namenreeks;predicaat;scheidingsteken;voornamen;voorvoegsel
1;pish;supposing vengeful ugh;minus energetically fatherly;anti ah after;clearly;till a winding;huzzah
2;indeed;gosh;gregarious;but sauce round;superior;now;calm till
3;ouch;coconut because orator;wipe;beyond;dazzling;now chassis;insulation but who
4;crayon;athwart;geez patriarch generously;commonly;loudly;excluding;when suddenly
5;deliberately thatch besides;for;partially flesh indelible;pish watermelon;drat help;loose wherever queasy;gee
6;circulate quarrel aha;openly sinful;along zowie;acidly apud;thunderous uh-huh phooey;once selection though;or uh-huh yesterday
7;but opponent while;shallot gosh;fancy ha;but;unexpectedly;beyond easily;geez ashtray so
8;boohoo;now;ack remind plump;after yuck;recent bet trusting;indeed constellation;readily testy
9;knacker implore sedately;gullible promptly;fervently drat;toward;playfully sparkling backyard;input picture;positively tremendously
10;coat hm;minus nor dramatic;hmph;consequently hmph supposing;blushing or;lean;demanding quicker pitiful
